가가호호 방문하다
결실을 맺다
결실을 보다
결실이 있다
결심이 서다
결연을 맺다
결원이 생기다
결의를 다지다
결재가 나다
결재를 받다
결재를 올리다
결점을 고치다
결점을 찾다
결점이 있다
결정에 따르다
결정을 내리다
결정을 보다
결정을 짓다
결정이 나다
결정타를 가하다
결정타를 치다
결투를 벌이다
결투를 신청하다
결투에 응하다
결판을 내다
결판이 나다
결함을 고치다
결함을 찾다
결함이 있다
결혼식을 올리다
겸연쩍게 웃다
겸연쩍은 미소
경각심을 불러일으키다
경각심을 일깨우다
경각심을 주다
경계를 늦추다
경계를 이루다
경계를 펴다
경계를 풀다
경계망을 뚫다
경고를 받다
경고를 주다
경기가 과열되다
경기가 열리다
경기를 벌이다
경기를 일으키다
경기를 치르다
경기를 타다
경기를 펼치다
경력을 쌓다
경력이 있다
경력이 짧다
경련을 일으키다
경련이 일어나다
경례를 받다
경륜을 쌓다
경매에 붙이다
경보가 발령되다
경보가 해제되다
경비가 들다
경비를 대다
경비를 서다
경비를 조달하다
경사가 급하다
경사가 나다
경상을 입다
경솔히 굴다
경연을 벌이다
경영난에 부딪히다
경영난에 빠지다
경영난에 허덕이다
경외심을 품다
경우에 어긋나다
경위가 바르다
경위가 밝다
경위를 따지다
경위서를 내다
경위서를 받다
경위에 벗어나다
경의를 표하다
경쟁심을 부추기다
경쟁심을 북돋우다
경쟁을 벌이다
경쟁이 붙다
경쟁이 치열하다
경적을 울리다
경제난에 처하다
경제난에 허덕이다
경제난을 겪다
경주를 벌이다
경지에 이르다
경치가 좋다
경합을 벌이다
경향이 있다
경험을 넓히다
경험을 살리다
경험을 쌓다
경험이 많다
경험이 부족하다
경험이 있다
경험이 적다
경험이 풍부하다
곁눈을 주다
곁눈을 팔다
곁에 끼다
계교를 꾸미다
계교를 부리다
계교를 쓰다
계교에 말려들다
계교에 빠지다
계급장을 달다
계략에 걸리다
계략에 넘어가다
계략에 빠지다
계략을 꾸미다
계략을 쓰다
계면쩍게 웃다
계보를 잇다
계산에 넣다
계산을 치르다
계산이 나오다
계시를 받다
계약을 체결하다
계엄령을 선포하다
계엄령을 해제하다
계엄령이 떨어지다
계책을 꾸미다
계책을 세우다
계책을 쓰다
계책이 서다
계책이 있다
계획성이 있다
계획을 꾸미다
계획을 세우다
계획을 잡다
계획을 짜다
계획이 무산되다
계획이 서다
계획이 있다
계획이 잡히다
곗돈을 붓다
고개를 가로젓다
고개를 갸우뚱거리다
고개를 갸우뚱하다
고개를 갸웃거리다
고개를 끄덕거리다
고개를 끄덕끄덕하다
고개를 끄덕이다
고개를 내젓다
고개를 넘다
고개를 돌리다
고개를 들다
고개를 수그리다
고개를 숙이다
고개를 젓다
고개를 주억거리다
고개를 흔들다
고기를 잡다
고깔을 쓰다
고깝게 여기다
고난을 헤치다
고뇌에 차다
고독에 빠지다
고래고래 소리를 지르다
고려에 넣다
고려장을 지내다
고름을 짜다
고마움을 표하다
고무인을 찍다
고무장갑을 끼우다
고문을 가하다
고문을 당하다
고문을 받다
고민에 빠지다
고발을 당하다
고비를 넘기다
고비를 맞다
고비에 서다
