가,ㄱㅏ
고무락,ㄱㅗㅁㅜㄹㅏㄱ
고물,ㄱㅗㅁㅜㄹ
고부랑,ㄱㅗㅂㅜㄹㅏㅇ
고불,ㄱㅗㅂㅜㄹ
고시랑,ㄱㅗㅅㅣㄹㅏㅇ
고식,ㄱㅗㅅㅣㄱ
고아,ㄱㅗㅇㅏ
고즈넉,ㄱㅗㅈㅡㄴㅓㄱ
고지식,ㄱㅗㅈㅣㅅㅣㄱ
고차,ㄱㅗㅊㅏ
곤핍,ㄱㅗㄴㅍㅣㅂ
골똘,ㄱㅗㄹㄸㅗㄹ
곰상,ㄱㅗㅁㅅㅏㅇ
곰실,ㄱㅗㅁㅅㅣㄹ
곱살,ㄱㅗㅂㅅㅏㄹ
공,ㄱㅗㅇ
공공연,ㄱㅗㅇㄱㅗㅇㅇㅕㄴ
공교,ㄱㅗㅇㄱㅛ
공화,ㄱㅗㅇㅎㅘ
과,ㄱㅘ
과소,ㄱㅘㅅㅗ
관,ㄱㅘㄴ
관활,ㄱㅘㄴㅎㅘㄹ
관후,ㄱㅘㄴㅎㅜ
광,ㄱㅘㅇ
광막,ㄱㅘㅇㅁㅏㄱ
광범,ㄱㅘㅇㅂㅓㅁ
괴괴,ㄱㅚㄱㅚ
괴상,ㄱㅚㅅㅏㅇ
괴상망측,ㄱㅚㅅㅏㅇㅁㅏㅇㅊㅡㄱ
괴이,ㄱㅚㅇㅣ
괴팍,ㄱㅚㅍㅏㄱ
굉장,ㄱㅚㅇㅈㅏㅇ
구,ㄱㅜ
구구,ㄱㅜㄱㅜ
구급,ㄱㅜㄱㅡㅂ
구기적,ㄱㅜㄱㅣㅈㅓㄱ
구깃,ㄱㅜㄱㅣㅅ
구두덜,ㄱㅜㄷㅜㄷㅓㄹ
구리칙칙,ㄱㅜㄹㅣㅊㅣㄱㅊㅣㄱ
구무럭,ㄱㅜㅁㅜㄹㅓㄱ
구물,ㄱㅜㅁㅜㄹ
구부렁,ㄱㅜㅂㅜㄹㅓㅇ
구부정,ㄱㅜㅂㅜㅈㅓㅇ
구불,ㄱㅜㅂㅜㄹ
구성,ㄱㅜㅅㅓㅇ
구수,ㄱㅜㅅㅜ
구시렁,ㄱㅜㅅㅣㄹㅓㅇ
구주레,ㄱㅜㅈㅜㄹㅔ
구태의연,ㄱㅜㅌㅐㅇㅢㅇㅕㄴ
국,ㄱㅜㄱ
국제,ㄱㅜㄱㅈㅔ
군,ㄱㅜㄴ
군색,ㄱㅜㄴㅅㅐㄱ
군소,ㄱㅜㄴㅅㅗ
군실,ㄱㅜㄴㅅㅣㄹ
굳건,ㄱㅜㄷㄱㅓㄴ
굵직,ㄱㅜㄺㅈㅣㄱ
굵직굵직,ㄱㅜㄺㅈㅣㄱㄱㅜㄺㅈㅣㄱ
굼닐,ㄱㅜㅁㄴㅣㄹ
굼실,ㄱㅜㅁㅅㅣㄹ
궁금,ㄱㅜㅇㄱㅡㅁ
궁박,ㄱㅜㅇㅂㅏㄱ
궁싯,ㄱㅜㅇㅅㅣㅅ
권,ㄱㅝㄴ
귀,ㄱㅟ
귀살,ㄱㅟㅅㅏㄹ
귀성,ㄱㅟㅅㅓㅇ
귀소,ㄱㅟㅅㅗ
귀중,ㄱㅟㅈㅜㅇ
그닐,ㄱㅡㄴㅣㄹ
그러,ㄱㅡㄹㅓ
그럴싸,ㄱㅡㄹㅓㄹㅆㅏ
그렁,ㄱㅡㄹㅓㅇ
그만,ㄱㅡㅁㅏㄴ
그만그만,ㄱㅡㅁㅏㄴㄱㅡㅁㅏㄴ
그물,ㄱㅡㅁㅜㄹ
그악,ㄱㅡㅇㅏㄱ
그윽,ㄱㅡㅇㅡㄱ
극,ㄱㅡㄱ
극미,ㄱㅡㄱㅁㅣ
극심,ㄱㅡㄱㅅㅣㅁ
극진,ㄱㅡㄱㅈㅣㄴ
근근,ㄱㅡㄴㄱㅡㄴ
근덕,ㄱㅡㄴㄷㅓㄱ
근뎅,ㄱㅡㄴㄷㅔㅇ
근드렁,ㄱㅡㄴㄷㅡㄹㅓㅇ
근드적,ㄱㅡㄴㄷㅡㅈㅓㄱ
근들,ㄱㅡㄴㄷㅡㄹ
근밀,ㄱㅡㄴㅁㅣㄹ
근사,ㄱㅡㄴㅅㅏ
근소,ㄱㅡㄴㅅㅗ
근실,ㄱㅡㄴㅅㅣㄹ
근엄,ㄱㅡㄴㅇㅓㅁ
근질,ㄱㅡㄴㅈㅣㄹ
글겅,ㄱㅡㄹㄱㅓㅇ
글그렁,ㄱㅡㄹㄱㅡㄹㅓㅇ
글컹,ㄱㅡㄹㅋㅓㅇ
긁적,ㄱㅡㄺㅈㅓㄱ
금실,ㄱㅡㅁㅅㅣㄹ
급,ㄱㅡㅂ
급급,ㄱㅡㅂㄱㅡㅂ
급작,ㄱㅡㅂㅈㅏㄱ
기,ㄱㅣ
기신,ㄱㅣㅅㅣㄴ
기우듬,ㄱㅣㅇㅜㄷㅡㅁ
기이,ㄱㅣㅇㅣ
기특,ㄱㅣㅌㅡㄱ
긴밀,ㄱㅣㄴㅁㅣㄹ
긴요,ㄱㅣㄴㅇㅛ
길쭉,ㄱㅣㄹㅉㅜㄱ
깊숙,ㄱㅣㅍㅅㅜㄱ
까드락,ㄲㅏㄷㅡㄹㅏㄱ
까들,ㄲㅏㄷㅡㄹ
까들막,ㄲㅏㄷㅡㄹㅁㅏㄱ
까뜨락,ㄲㅏㄸㅡㄹㅏㄱ
까마득,ㄲㅏㅁㅏㄷㅡㄱ
까막,ㄲㅏㅁㅏㄱ
까무잡잡,ㄲㅏㅁㅜㅈㅏㅂㅈㅏㅂ
까물,ㄲㅏㅁㅜㄹ
까불,ㄲㅏㅂㅜㄹ
까치작,ㄲㅏㅊㅣㅈㅏㄱ
까칠,ㄲㅏㅊㅣㄹ
까칫,ㄲㅏㅊㅣㅅ
깍듯,ㄲㅏㄱㄷㅡㅅ
깍뚝,ㄲㅏㄱㄸㅜㄱ
깐깐,ㄲㅏㄴㄲㅏㄴ
깐닥,ㄲㅏㄴㄷㅏㄱ
깐딱,ㄲㅏㄴㄸㅏㄱ
깐작,ㄲㅏㄴㅈㅏㄱ
깐족,ㄲㅏㄴㅈㅗㄱ
깐죽,ㄲㅏㄴㅈㅜㄱ
깔끔,ㄲㅏㄹㄲㅡㅁ
깔쭉,ㄲㅏㄹㅉㅜㄱ
깜깜,ㄲㅏㅁㄲㅏㅁ
깜찍,ㄲㅏㅁㅉㅣㄱ
깝신,ㄲㅏㅂㅅㅣㄴ
깝죽,ㄲㅏㅂㅈㅜㄱ
깨끔,ㄲㅐㄲㅡㅁ
깨끗,ㄲㅐㄲㅡㅅ
깨죽,ㄲㅐㅈㅜㄱ
깨지락,ㄲㅐㅈㅣㄹㅏㄱ
깨질,ㄲㅐㅈㅣㄹ
깰깩,ㄲㅐㄹㄲㅐㄱ
꺼드럭,ㄲㅓㄷㅡㄹㅓㄱ
꺼들,ㄲㅓㄷㅡㄹ
꺼들먹,ㄲㅓㄷㅡㄹㅁㅓㄱ
꺼뜨럭,ㄲㅓㄸㅡㄹㅓㄱ
꺼림칙,ㄲㅓㄹㅣㅁㅊㅣㄱ
꺼먹,ㄲㅓㅁㅓㄱ
꺼물,ㄲㅓㅁㅜㄹ
꺼불,ㄲㅓㅂㅜㄹ
꺼치적,ㄲㅓㅊㅣㅈㅓㄱ
꺼칠,ㄲㅓㅊㅣㄹ
꺼칫,ㄲㅓㅊㅣㅅ
꺽둑,ㄲㅓㄱㄷㅜㄱ
꺽죽,ㄲㅓㄱㅈㅜㄱ
껄끔,ㄲㅓㄹㄲㅡㅁ
껄쭉,ㄲㅓㄹㅉㅜㄱ
껍신,ㄲㅓㅂㅅㅣㄴ
껍죽,ㄲㅓㅂㅈㅜㄱ
께름칙,ㄲㅔㄹㅡㅁㅊㅣㄱ
께적,ㄲㅔㅈㅓㄱ
께죽,ㄲㅔㅈㅜㄱ
께지럭,ㄲㅔㅈㅣㄹㅓㄱ
께질,ㄲㅔㅈㅣㄹ
꼬기작,ㄲㅗㄱㅣㅈㅏㄱ
꼬깃,ㄲㅗㄱㅣㅅ
꼬무락,ㄲㅗㅁㅜㄹㅏㄱ
꼬물,ㄲㅗㅁㅜㄹ
꼬부랑,ㄲㅗㅂㅜㄹㅏㅇ
꼬불,ㄲㅗㅂㅜㄹ
꼬약,ㄲㅗㅇㅑㄱ
꼼실,ㄲㅗㅁㅅㅣㄹ
꼼트락,ㄲㅗㅁㅌㅡㄹㅏㄱ
꼿꼿,ㄲㅗㅅㄲㅗㅅ
꽁알,ㄲㅗㅇㅇㅏㄹ
꾀죄죄,ㄲㅚㅈㅚㅈㅚ
꾸기적,ㄲㅜㄱㅣㅈㅓㄱ
꾸깃,ㄲㅜㄱㅣㅅ
꾸무럭,ㄲㅜㅁㅜㄹㅓㄱ
