가,ㄱㅏ
떠듬,ㄸㅓㄷㅡㅁ
떠듬적,ㄸㅓㄷㅡㅁㅈㅓㄱ
떠죽,ㄸㅓㅈㅜㄱ
떠지껄,ㄸㅓㅈㅣㄲㅓㄹ
떡떠글,ㄸㅓㄱㄸㅓㄱㅡㄹ
떼굴,ㄸㅔㄱㅜㄹ
또닥,ㄸㅗㄷㅏㄱ
또드락,ㄸㅗㄷㅡㄹㅏㄱ
또박,ㄸㅗㅂㅏㄱ
뚜덕,ㄸㅜㄷㅓㄱ
뚜덜,ㄸㅜㄷㅓㄹ
뚜드럭,ㄸㅜㄷㅡㄹㅓㄱ
뚜렷,ㄸㅜㄹㅕㅅ
뚜벅,ㄸㅜㅂㅓㄱ
뚝별,ㄸㅜㄱㅂㅕㄹ
뚱싯,ㄸㅜㅇㅅㅣㅅ
뜯적,ㄸㅡㄷㅈㅓㄱ
뜰먹,ㄸㅡㄹㅁㅓㄱ
력,ㄹㅕㄱ
령,ㄹㅕㅇ
로,ㄹㅗ
록,ㄹㅗㄱ
론,ㄹㅗㄴ
료,ㄹㅛ
류,ㄹㅠ
률,ㄹㅠㄹ
리,ㄹㅣ
림,ㄹㅣㅁ
마땅,ㅁㅏㄸㅏㅇ
마애,ㅁㅏㅇㅐ
마제,ㅁㅏㅈㅔ
막,ㅁㅏㄱ
막강,ㅁㅏㄱㄱㅏㅇ
막중,ㅁㅏㄱㅈㅜㅇ
만작,ㅁㅏㄴㅈㅏㄱ
만지작,ㅁㅏㄴㅈㅣㅈㅏㄱ
말똥,ㅁㅏㄹㄸㅗㅇ
말랑,ㅁㅏㄹㄹㅏㅇ
말캉,ㅁㅏㄹㅋㅏㅇ
맛깔,ㅁㅏㅅㄲㅏㄹ
망설,ㅁㅏㅇㅅㅓㄹ
망패,ㅁㅏㅇㅍㅐ
매끄당,ㅁㅐㄲㅡㄷㅏㅇ
매끈둥,ㅁㅐㄲㅡㄴㄷㅜㅇ
매몰,ㅁㅐㅁㅗㄹ
매슥,ㅁㅐㅅㅡㄱ
매욱,ㅁㅐㅇㅜㄱ
맹,ㅁㅐㅇ
머무적,ㅁㅓㅁㅜㅈㅓㄱ
멀뚱,ㅁㅓㄹㄸㅜㅇ
메,ㅁㅔ
메슥,ㅁㅔㅅㅡㄱ
명,ㅁㅕㅇ
모,ㅁㅗ
모락,ㅁㅗㄹㅏㄱ
모지락,ㅁㅗㅈㅣㄹㅏㄱ
몰,ㅁㅗㄹ
몰강,ㅁㅗㄹㄱㅏㅇ
몰랑,ㅁㅗㄹㄹㅏㅇ
몰캉,ㅁㅗㄹㅋㅏㅇ
몰풍,ㅁㅗㄹㅍㅜㅇ
몽그작,ㅁㅗㅇㄱㅡㅈㅏㄱ
몽긋,ㅁㅗㅇㄱㅡㅅ
무,ㅁㅜ
무던,ㅁㅜㄷㅓㄴ
무시무시,ㅁㅜㅅㅣㅁㅜㅅㅣ
무작,ㅁㅜㅈㅏㄱ
문,ㅁㅜㄴ
문치적,ㅁㅜㄴㅊㅣㅈㅓㄱ
물,ㅁㅜㄹ
물렁,ㅁㅜㄹㄹㅓㅇ
물컹,ㅁㅜㄹㅋㅓㅇ
뭉그적,ㅁㅜㅇㄱㅡㅈㅓㄱ
뭉긋,ㅁㅜㅇㄱㅡㅅ
미,ㅁㅣ
미개,ㅁㅣㄱㅐ
미끄덩,ㅁㅣㄲㅡㄷㅓㅇ
미끈둥,ㅁㅣㄲㅡㄴㄷㅜㅇ
미루적,ㅁㅣㄹㅜㅈㅓㄱ
미소,ㅁㅣㅅㅗ
미숙련,ㅁㅣㅅㅜㄱㄹㅕㄴ
미욱,ㅁㅣㅇㅜㄱ
미적,ㅁㅣㅈㅓㄱ
밀접,ㅁㅣㄹㅈㅓㅂ
바글,ㅂㅏㄱㅡㄹ
바동,ㅂㅏㄷㅗㅇ
바들,ㅂㅏㄷㅡㄹ
바람직,ㅂㅏㄹㅏㅁㅈㅣㄱ
바르작,ㅂㅏㄹㅡㅈㅏㄱ
바릊,ㅂㅏㄹㅡㅈ
바시랑,ㅂㅏㅅㅣㄹㅏㅇ
바작,ㅂㅏㅈㅏㄱ
바장,ㅂㅏㅈㅏㅇ
박신,ㅂㅏㄱㅅㅣㄴ
반,ㅂㅏㄴ
반국가,ㅂㅏㄴㄱㅜㄱㄱㅏ
반둥,ㅂㅏㄴㄷㅜㅇ
반민족,ㅂㅏㄴㅁㅣㄴㅈㅗㄱ
반민주,ㅂㅏㄴㅁㅣㄴㅈㅜ
반사회,ㅂㅏㄴㅅㅏㅎㅚ
반연,ㅂㅏㄴㅇㅕㄴ
반일,ㅂㅏㄴㅇㅣㄹ
반정부,ㅂㅏㄴㅈㅓㅇㅂㅜ
반질,ㅂㅏㄴㅈㅣㄹ
발,ㅂㅏㄹ
발깍,ㅂㅏㄹㄲㅏㄱ
발랑,ㅂㅏㄹㄹㅏㅇ
발짝,ㅂㅏㄹㅉㅏㄱ
발칵,ㅂㅏㄹㅋㅏㄱ
배,ㅂㅐ
배딱,ㅂㅐㄸㅏㄱ
배뚝,ㅂㅐㄸㅜㄱ
배뚤,ㅂㅐㄸㅜㄹ
배슥,ㅂㅐㅅㅡㄱ
배착,ㅂㅐㅊㅏㄱ
배치작,ㅂㅐㅊㅣㅈㅏㄱ
배칠,ㅂㅐㅊㅣㄹ
배트작,ㅂㅐㅌㅡㅈㅏㄱ
백,ㅂㅐㄱ
밴둥,ㅂㅐㄴㄷㅜㅇ
밴들,ㅂㅐㄴㄷㅡㄹ
뱌비작,ㅂㅑㅂㅣㅈㅏㄱ
뱌빚,ㅂㅑㅂㅣㅈ
뱌슬,ㅂㅑㅅㅡㄹ
뱐죽,ㅂㅑㄴㅈㅜㄱ
버근,ㅂㅓㄱㅡㄴ
버글,ㅂㅓㄱㅡㄹ
버둥,ㅂㅓㄷㅜㅇ
버들,ㅂㅓㄷㅡㄹ
버르적,ㅂㅓㄹㅡㅈㅓㄱ
버릊,ㅂㅓㄹㅡㅈ
버적,ㅂㅓㅈㅓㄱ
버정,ㅂㅓㅈㅓㅇ
벅신,ㅂㅓㄱㅅㅣㄴ
번둥,ㅂㅓㄴㄷㅜㅇ
번죽,ㅂㅓㄴㅈㅜㄱ
번질,ㅂㅓㄴㅈㅣㄹ
벌꺽,ㅂㅓㄹㄲㅓㄱ
벌렁,ㅂㅓㄹㄹㅓㅇ
벌쩍,ㅂㅓㄹㅉㅓㄱ
벌컥,ㅂㅓㄹㅋㅓㄱ
범,ㅂㅓㅁ
법조,ㅂㅓㅂㅈㅗ
베슥,ㅂㅔㅅㅡㄱ
베슬,ㅂㅔㅅㅡㄹ
별,ㅂㅕㄹ
별쭝,ㅂㅕㄹㅉㅜㅇ
별축,ㅂㅕㄹㅊㅜㄱ
보,ㅂㅗ
보글,ㅂㅗㄱㅡㄹ
보슬,ㅂㅗㅅㅡㄹ
복,ㅂㅗㄱ
본,ㅂㅗㄴ
볼각,ㅂㅗㄹㄱㅏㄱ
볼강,ㅂㅗㄹㄱㅏㅇ
볼근,ㅂㅗㄹㄱㅡㄴ
볼똥,ㅂㅗㄹㄸㅗㅇ
볼통,ㅂㅗㄹㅌㅗㅇ
봉건,ㅂㅗㅇㄱㅓㄴ
부,ㅂㅜ
부글,ㅂㅜㄱㅡㄹ
부당,ㅂㅜㄷㅏㅇ
부대,ㅂㅜㄷㅐ
부들,ㅂㅜㄷㅡㄹ
부슬,ㅂㅜㅅㅡㄹ
부자연,ㅂㅜㅈㅏㅇㅕㄴ
분,ㅂㅜㄴ
불,ㅂㅜㄹ
불걱,ㅂㅜㄹㄱㅓㄱ
불겅,ㅂㅜㄹㄱㅓㅇ
불구,ㅂㅜㄹㄱㅜ
불근,ㅂㅜㄹㄱㅡㄴ
불뚱,ㅂㅜㄹㄸㅜㅇ
불미,ㅂㅜㄹㅁㅣ
불요,ㅂㅜㄹㅇㅛ
불쩍,ㅂㅜㄹㅉㅓㄱ
불퉁,ㅂㅜㄹㅌㅜㅇ
붐빠,ㅂㅜㅁㅃㅏ
비,ㅂㅣ
비근,ㅂㅣㄱㅡㄴ
비딱,ㅂㅣㄸㅏㄱ
비뚝,ㅂㅣㄸㅜㄱ
비뚤,ㅂㅣㄸㅜㄹ
비비적,ㅂㅣㅂㅣㅈㅓㄱ
비빚,ㅂㅣㅂㅣㅈ
비슥,ㅂㅣㅅㅡㄱ
비슷,ㅂㅣㅅㅡㅅ
비식,ㅂㅣㅅㅣㄱ
비실,ㅂㅣㅅㅣㄹ
비쓱,ㅂㅣㅆㅡㄱ
비쓸,ㅂㅣㅆㅡㄹ
비영,ㅂㅣㅇㅕㅇ
비웃적,ㅂㅣㅇㅜㅅㅈㅓㄱ
비적성,ㅂㅣㅈㅓㄱㅅㅓㅇ
비척,ㅂㅣㅊㅓㄱ
비치적,ㅂㅣㅊㅣㅈㅓㄱ
비칠,ㅂㅣㅊㅣㄹ
비트적,ㅂㅣㅌㅡㅈㅓㄱ
빈둥,ㅂㅣㄴㄷㅜㅇ
빈들,ㅂㅣㄴㄷㅡㄹ
빈정,ㅂㅣㄴㅈㅓㅇ
빠글,ㅃㅏㄱㅡㄹ
빠르작,ㅃㅏㄹㅡㅈㅏㄱ
빠릊,ㅃㅏㄹㅡㅈ
빠작,ㅃㅏㅈㅏㄱ
빤둥,ㅃㅏㄴㄷㅜㅇ
빤질,ㅃㅏㄴㅈㅣㄹ
빨깍,ㅃㅏㄹㄲㅏㄱ
빨랑,ㅃㅏㄹㄹㅏㅇ
빼딱,ㅃㅐㄸㅏㄱ
빼뚝,ㅃㅐㄸㅜㄱ
빼뚤,ㅃㅐㄸㅜㄹ
빼트작,ㅃㅐㅌㅡㅈㅏㄱ
빼틀,ㅃㅐㅌㅡㄹ
뺀둥,ㅃㅐㄴㄷㅜㅇ
뺀들,ㅃㅐㄴㄷㅡㄹ
뺀질,ㅃㅐㄴㅈㅣㄹ
뻐글,ㅃㅓㄱㅡㄹ
뻐르적,ㅃㅓㄹㅡㅈㅓㄱ
뻐릊,ㅃㅓㄹㅡㅈ
뻐적,ㅃㅓㅈㅓㄱ
뻔둥,ㅃㅓㄴㄷㅜㅇ
뻔뻔,ㅃㅓㄴㅃㅓㄴ
뻔죽,ㅃㅓㄴㅈㅜㄱ
뻔질,ㅃㅓㄴㅈㅣㄹ
뻘꺽,ㅃㅓㄹㄲㅓㄱ
뻘렁,ㅃㅓㄹㄹㅓㅇ
뽀글,ㅃㅗㄱㅡㄹ
뿌글,ㅃㅜㄱㅡㄹ
뿜빠,ㅃㅜㅁㅃㅏ
뿡빵,ㅃㅜㅇㅃㅏㅇ
삐딱,ㅃㅣㄸㅏㄱ
삐뚝,ㅃㅣㄸㅜㄱ
삐뚤,ㅃㅣㄸㅜㄹ
삐트적,ㅃㅣㅌㅡㅈㅓㄱ
삐틀,ㅃㅣㅌㅡㄹ
삔둥,ㅃㅣㄴㄷㅜㅇ
삔들,ㅃㅣㄴㄷㅡㄹ
사,ㅅㅏ
사락,ㅅㅏㄹㅏㄱ
사박,ㅅㅏㅂㅏㄱ
사부랑,ㅅㅏㅂㅜㄹㅏㅇ
사부작,ㅅㅏㅂㅜㅈㅏㄱ
사분,ㅅㅏㅂㅜㄴ
사사,ㅅㅏㅅㅏ
사유,ㅅㅏㅇㅠ
사제,ㅅㅏㅈㅔ
산,ㅅㅏㄴ
살강,ㅅㅏㄹㄱㅏㅇ
살근,ㅅㅏㄹㄱㅡㄴ
살똥,ㅅㅏㄹㄸㅗㅇ
살살,ㅅㅏㄹㅅㅏㄹ
살캉,ㅅㅏㄹㅋㅏㅇ
상,ㅅㅏㅇ
상보,ㅅㅏㅇㅂㅗ
상서,ㅅㅏㅇㅅㅓ
상이,ㅅㅏㅇㅇㅣ
새근덕,ㅅㅐㄱㅡㄴㄷㅓㄱ
새롱,ㅅㅐㄹㅗㅇ
새물,ㅅㅐㅁㅜㄹ
새살,ㅅㅐㅅㅏㄹ
새새덕,ㅅㅐㅅㅐㄷㅓㄱ
새실,ㅅㅐㅅㅣㄹ
새큰,ㅅㅐㅋㅡㄴ
생,ㅅㅐㅇ
서,ㅅㅓ
서벅,ㅅㅓㅂㅓㄱ
서분,ㅅㅓㅂㅜㄴ
서성,ㅅㅓㅅㅓㅇ
서슴,ㅅㅓㅅㅡㅁ
석,ㅅㅓㄱ
선,ㅅㅓㄴ
설겅,ㅅㅓㄹㄱㅓㅇ
설설,ㅅㅓㄹㅅㅓㄹ
설컹,ㅅㅓㄹㅋㅓㅇ
성,ㅅㅓㅇ
소,ㅅㅗ
소곤,ㅅㅗㄱㅗㄴ
소곤닥,ㅅㅗㄱㅗㄴㄷㅏㄱ
소극,ㅅㅗㄱㅡㄱ
소방,ㅅㅗㅂㅏㅇ
속,ㅅㅗㄱ
속닥,ㅅㅗㄱㄷㅏㄱ
속달,ㅅㅗㄱㄷㅏㄹ
속삭,ㅅㅗㄱㅅㅏㄱ
속살,ㅅㅗㄱㅅㅏㄹ
수,ㅅㅜ
수군,ㅅㅜㄱㅜㄴ
수군덕,ㅅㅜㄱㅜㄴㄷㅓㄱ
수런,ㅅㅜㄹㅓㄴ
수성,ㅅㅜㅅㅓㅇ
수수,ㅅㅜㅅㅜ
수양,ㅅㅜㅇㅑㅇ
숙덕,ㅅㅜㄱㄷㅓㄱ
숙덜,ㅅㅜㄱㄷㅓㄹ
숙설,ㅅㅜㄱㅅㅓㄹ
순,ㅅㅜㄴ
술,ㅅㅜㄹ
술렁,ㅅㅜㄹㄹㅓㅇ
숫,ㅅㅜㅅ
쉬쉬,ㅅㅟㅅㅟ
스멀,ㅅㅡㅁㅓㄹ
슬근,ㅅㅡㄹㄱㅡㄴ
슬렁,ㅅㅡㄹㄹㅓㅇ
시,ㅅㅣ
시근덕,ㅅㅣㄱㅡㄴㄷㅓㄱ
시룽,ㅅㅣㄹㅜㅇ
시물,ㅅㅣㅁㅜㄹ
시부렁,ㅅㅣㅂㅜㄹㅓㅇ
시부적,ㅅㅣㅂㅜㅈㅓㄱ
시시닥,ㅅㅣㅅㅣㄷㅏㄱ
시시덕,ㅅㅣㅅㅣㄷㅓㄱ
시실,ㅅㅣㅅㅣㄹ
시영,ㅅㅣㅇㅕㅇ
시원,ㅅㅣㅇㅝㄴ
시위적,ㅅㅣㅇㅟㅈㅓㄱ
시적,ㅅㅣㅈㅓㄱ
식,ㅅㅣㄱ
식민,ㅅㅣㄱㅁㅣㄴ
신,ㅅㅣㄴ
신들,ㅅㅣㄴㄷㅡㄹ
실떡,ㅅㅣㄹㄸㅓㄱ
실업,ㅅㅣㄹㅇㅓㅂ
심,ㅅㅣㅁ
심각,ㅅㅣㅁㄱㅏㄱ
싸부랑,ㅆㅏㅂㅜㄹㅏㅇ
쌀강,ㅆㅏㄹㄱㅏㅇ
쌀랑,ㅆㅏㄹㄹㅏㅇ
쌀캉,ㅆㅏㄹㅋㅏㅇ
쌍,ㅆㅏㅇ
쌔근,ㅆㅐㄱㅡㄴ
쌔근덕,ㅆㅐㄱㅡㄴㄷㅓㄱ
쌔물,ㅆㅐㅁㅜㄹ
썰겅,ㅆㅓㄹㄱㅓㅇ
썰썰,ㅆㅓㄹㅆㅓㄹ
썰컹,ㅆㅓㄹㅋㅓㅇ
쏘곤,ㅆㅗㄱㅗㄴ
쏘곤닥,ㅆㅗㄱㅗㄴㄷㅏㄱ
쏘삭,ㅆㅗㅅㅏㄱ
쏙닥,ㅆㅗㄱㄷㅏㄱ
쏙달,ㅆㅗㄱㄷㅏㄹ
쏙살,ㅆㅗㄱㅅㅏㄹ
쏠라닥,ㅆㅗㄹㄹㅏㄷㅏㄱ
쏠락,ㅆㅗㄹㄹㅏㄱ
쑤군,ㅆㅜㄱㅜㄴ
쑤군덕,ㅆㅜㄱㅜㄴㄷㅓㄱ
쑤석,ㅆㅜㅅㅓㄱ
쑥덕,ㅆㅜㄱㄷㅓㄱ
쑥덜,ㅆㅜㄱㄷㅓㄹ
쑥설,ㅆㅜㄱㅅㅓㄹ
쓰적,ㅆㅡㅈㅓㄱ
씨근,ㅆㅣㄱㅡㄴ
씨근덕,ㅆㅣㄱㅡㄴㄷㅓㄱ
씨물,ㅆㅣㅁㅜㄹ
씨부렁,ㅆㅣㅂㅜㄹㅓㅇ
씨불,ㅆㅣㅂㅜㄹ
씨우적,ㅆㅣㅇㅜㅈㅓㄱ
아,ㅇㅏ
아기똥,ㅇㅏㄱㅣㄸㅗㅇ
아기족,ㅇㅏㄱㅣㅈㅗㄱ
아느작,ㅇㅏㄴㅡㅈㅏㄱ
아늘,ㅇㅏㄴㅡㄹ
아드등,ㅇㅏㄷㅡㄷㅡㅇ
아등,ㅇㅏㄷㅡㅇ
아롱,ㅇㅏㄹㅗㅇ
아른,ㅇㅏㄹㅡㄴ
아름,ㅇㅏㄹㅡㅁ
아름작,ㅇㅏㄹㅡㅁㅈㅏㄱ
아릿,ㅇㅏㄹㅣㅅ
아물,ㅇㅏㅁㅜㄹ
아슬랑,ㅇㅏㅅㅡㄹㄹㅏㅇ
아창,ㅇㅏㅊㅏㅇ
아치랑,ㅇㅏㅊㅣㄹㅏㅇ
아치장,ㅇㅏㅊㅣㅈㅏㅇ
아칠,ㅇㅏㅊㅣㄹ
아칫,ㅇㅏㅊㅣㅅ
악착,ㅇㅏㄱㅊㅏㄱ
안,ㅇㅏㄴ
알랑,ㅇㅏㄹㄹㅏㅇ
알른,ㅇㅏㄹㄹㅡㄴ
알짱,ㅇㅏㄹㅉㅏㅇ
알쫑,ㅇㅏㄹㅉㅗㅇ
암,ㅇㅏㅁ
앙글,ㅇㅏㅇㄱㅡㄹ
앙기작,ㅇㅏㅇㄱㅣㅈㅏㄱ
앙알,ㅇㅏㅇㅇㅏㄹ
앙잘,ㅇㅏㅇㅈㅏㄹ
앙칼,ㅇㅏㅇㅋㅏㄹ
애,ㅇㅐ
액,ㅇㅐㄱ
야금,ㅇㅑㄱㅡㅁ
야기죽,ㅇㅑㄱㅣㅈㅜㄱ
야물,ㅇㅑㅁㅜㄹ
야스락,ㅇㅑㅅㅡㄹㅏㄱ
야슬,ㅇㅑㅅㅡㄹ
야죽,ㅇㅑㅈㅜㄱ
약소,ㅇㅑㄱㅅㅗ
약죽,ㅇㅑㄱㅈㅜㄱ
얄긋,ㅇㅑㄹㄱㅡㅅ
얄기죽,ㅇㅑㄹㄱㅣㅈㅜㄱ
얄랑,ㅇㅑㄹㄹㅏㅇ
얄밉상,ㅇㅑㄹㅁㅣㅂㅅㅏㅇ
얄쭉,ㅇㅑㄹㅉㅜㄱ
양냥,ㅇㅑㅇㄴㅑㅇ
어,ㅇㅓ
어기뚱,ㅇㅓㄱㅣㄸㅜㅇ
어기죽,ㅇㅓㄱㅣㅈㅜㄱ
어룽,ㅇㅓㄹㅜㅇ
어른,ㅇㅓㄹㅡㄴ
어름적,ㅇㅓㄹㅡㅁㅈㅓㄱ
어리둥절,ㅇㅓㄹㅣㄷㅜㅇㅈㅓㄹ
어릿,ㅇㅓㄹㅣㅅ
어물,ㅇㅓㅁㅜㄹ
어슬렁,ㅇㅓㅅㅡㄹㄹㅓㅇ
어슷,ㅇㅓㅅㅡㅅ
어정,ㅇㅓㅈㅓㅇ
어줍살,ㅇㅓㅈㅜㅂㅅㅏㄹ
어중,ㅇㅓㅈㅜㅇ
어청,ㅇㅓㅊㅓㅇ
어치렁,ㅇㅓㅊㅣㄹㅓㅇ
어치정,ㅇㅓㅊㅣㅈㅓㅇ
어칠,ㅇㅓㅊㅣㄹ
억억,ㅇㅓㄱㅇㅓㄱ
억척,ㅇㅓㄱㅊㅓㄱ
얼른,ㅇㅓㄹㄹㅡㄴ
얼쩡,ㅇㅓㄹㅉㅓㅇ
얼쭝,ㅇㅓㄹㅉㅜㅇ
엄벙,ㅇㅓㅁㅂㅓㅇ
엉글,ㅇㅓㅇㄱㅡㄹ
엉기적,ㅇㅓㅇㄱㅣㅈㅓㄱ
엉두덜,ㅇㅓㅇㄷㅜㄷㅓㄹ
엉얼,ㅇㅓㅇㅇㅓㄹ
엉절,ㅇㅓㅇㅈㅓㄹ
여,ㅇㅕ
여짓,ㅇㅕㅈㅣㅅ
역,ㅇㅕㄱ
연,ㅇㅕㄴ
연례,ㅇㅕㄴㄹㅖ
연예,ㅇㅕㄴㅇㅖ
열렁,ㅇㅕㄹㄹㅓㅇ
영구,ㅇㅕㅇㄱㅜ
영세,ㅇㅕㅇㅅㅔ
오도깝,ㅇㅗㄷㅗㄲㅏㅂ
오들,ㅇㅗㄷㅡㄹ
오똘,ㅇㅗㄸㅗㄹ
오무락,ㅇㅗㅁㅜㄹㅏㄱ
오무작,ㅇㅗㅁㅜㅈㅏㄱ
오비작,ㅇㅗㅂㅣㅈㅏㄱ
오빗,ㅇㅗㅂㅣㅅ
오졸,ㅇㅗㅈㅗㄹ
오쫄,ㅇㅗㅉㅗㄹ
옥,ㅇㅗㄱ
옥시글,ㅇㅗㄱㅅㅣㄱㅡㄹ
옥신,ㅇㅗㄱㅅㅣㄴ
옥실,ㅇㅗㄱㅅㅣㄹ
옥작,ㅇㅗㄱㅈㅏㄱ
올강,ㅇㅗㄹㄱㅏㅇ
올공,ㅇㅗㄹㄱㅗㅇ
올근,ㅇㅗㄹㄱㅡㄴ
올랑,ㅇㅗㄹㄹㅏㅇ
옴실,ㅇㅗㅁㅅㅣㄹ
옴지락,ㅇㅗㅁㅈㅣㄹㅏㄱ
옴직,ㅇㅗㅁㅈㅣㄱ
옴찍,ㅇㅗㅁㅉㅣㄱ
옹성,ㅇㅗㅇㅅㅓㅇ
옹알,ㅇㅗㅇㅇㅏㄹ
옹잘,ㅇㅗㅇㅈㅏㄹ
와각,ㅇㅘㄱㅏㄱ
와그작,ㅇㅘㄱㅡㅈㅏㄱ
와글,ㅇㅘㄱㅡㄹ
와당,ㅇㅘㄷㅏㅇ
와드등,ㅇㅘㄷㅡㄷㅡㅇ
와들,ㅇㅘㄷㅡㄹ
왁다글,ㅇㅘㄱㄷㅏㄱㅡㄹ
왁살,ㅇㅘㄱㅅㅏㄹ
왁시글,ㅇㅘㄱㅅㅣㄱㅡㄹ
왁실,ㅇㅘㄱㅅㅣㄹ
왜글,ㅇㅙㄱㅡㄹ
왜죽,ㅇㅙㅈㅜㄱ
왜쭉,ㅇㅙㅉㅜㄱ
왱강,ㅇㅙㅇㄱㅏㅇ
외,ㅇㅚ
요,ㅇㅛ
욕,ㅇㅛㄱ
용,ㅇㅛㅇ
우꾼,ㅇㅜㄲㅜㄴ
우둔,ㅇㅜㄷㅜㄴ
우들,ㅇㅜㄷㅡㄹ
우뚤,ㅇㅜㄸㅜㄹ
우락,ㅇㅜㄹㅏㄱ
우무럭,ㅇㅜㅁㅜㄹㅓㄱ
우무적,ㅇㅜㅁㅜㅈㅓㄱ
우비적,ㅇㅜㅂㅣㅈㅓㄱ
우빗,ㅇㅜㅂㅣㅅ
우스꽝,ㅇㅜㅅㅡㄲㅘㅇ
우악,ㅇㅜㅇㅏㄱ
우악살,ㅇㅜㅇㅏㄱㅅㅏㄹ
우전,ㅇㅜㅈㅓㄴ
우죽,ㅇㅜㅈㅜㄱ
우줄,ㅇㅜㅈㅜㄹ
우줅,ㅇㅜㅈㅜㄺ
욱닥,ㅇㅜㄱㄷㅏㄱ
욱시글,ㅇㅜㄱㅅㅣㄱㅡㄹ
욱신,ㅇㅜㄱㅅㅣㄴ
욱실,ㅇㅜㄱㅅㅣㄹ
울근,ㅇㅜㄹㄱㅡㄴ
울렁,ㅇㅜㄹㄹㅓㅇ
움지럭,ㅇㅜㅁㅈㅣㄹㅓㄱ
움직,ㅇㅜㅁㅈㅣㄱ
움찍,ㅇㅜㅁㅉㅣㄱ
웅성,ㅇㅜㅇㅅㅓㅇ
웅실,ㅇㅜㅇㅅㅣㄹ
웅얼,ㅇㅜㅇㅇㅓㄹ
웅절,ㅇㅜㅇㅈㅓㄹ
워걱,ㅇㅝㄱㅓㄱ
워그적,ㅇㅝㄱㅡㅈㅓㄱ
워글,ㅇㅝㄱㅡㄹ
웍더글,ㅇㅝㄱㄷㅓㄱㅡㄹ
원,ㅇㅝㄴ
원시,ㅇㅝㄴㅅㅣ
월례,ㅇㅝㄹㄹㅖ
웨죽,ㅇㅞㅈㅜㄱ
웽겅,ㅇㅞㅇㄱㅓㅇ
유,ㅇㅠ
유권,ㅇㅠㄱㅝㄴ
유들,ㅇㅠㄷㅡㄹ
유력,ㅇㅠㄹㅕㄱ
유리,ㅇㅠㄹㅣ
유한,ㅇㅠㅎㅏㄴ
유휴,ㅇㅠㅎㅠ
으드등,ㅇㅡㄷㅡㄷㅡㅇ
으르딱딱,ㅇㅡㄹㅡㄸㅏㄱㄸㅏㄱ
을근,ㅇㅡㄹㄱㅡㄴ
을씨년,ㅇㅡㄹㅆㅣㄴㅕㄴ
응얼,ㅇㅡㅇㅇㅓㄹ
의료,ㅇㅢㄹㅛ
의법,ㅇㅢㅂㅓㅂ
이글,ㅇㅣㄱㅡㄹ
이기죽,ㅇㅣㄱㅣㅈㅜㄱ
이러저러,ㅇㅣㄹㅓㅈㅓㄹㅓ
이렁성,ㅇㅣㄹㅓㅇㅅㅓㅇ
이악,ㅇㅣㅇㅏㄱ
이죽,ㅇㅣㅈㅜㄱ
이지,ㅇㅣㅈㅣ
익숙,ㅇㅣㄱㅅㅜㄱ
익죽,ㅇㅣㄱㅈㅜㄱ
인,ㅇㅣㄴ
일,ㅇㅣㄹ
일간,ㅇㅣㄹㄱㅏㄴ
일괄,ㅇㅣㄹㄱㅘㄹ
일긋,ㅇㅣㄹㄱㅡㅅ
일기죽,ㅇㅣㄹㄱㅣㅈㅜㄱ
일렁,ㅇㅣㄹㄹㅓㅇ
일쭉,ㅇㅣㄹㅉㅜㄱ
자,ㅈㅏ
자근덕,ㅈㅏㄱㅡㄴㄷㅓㄱ
자글,ㅈㅏㄱㅡㄹ
자금,ㅈㅏㄱㅡㅁ
자끔,ㅈㅏㄲㅡㅁ
자드락,ㅈㅏㄷㅡㄹㅏㄱ
자부락,ㅈㅏㅂㅜㄹㅏㄱ
자분닥,ㅈㅏㅂㅜㄴㄷㅏㄱ
자축,ㅈㅏㅊㅜㄱ
자춤,ㅈㅏㅊㅜㅁ
자칫,ㅈㅏㅊㅣㅅ
작신,ㅈㅏㄱㅅㅣㄴ
잔득,ㅈㅏㄴㄷㅡㄱ
잘근,ㅈㅏㄹㄱㅡㄴ
잘똑,ㅈㅏㄹㄸㅗㄱ
잘쏙,ㅈㅏㄹㅆㅗㄱ
잘착,ㅈㅏㄹㅊㅏㄱ
잠정,ㅈㅏㅁㅈㅓㅇ
장,ㅈㅏㅇ
장알,ㅈㅏㅇㅇㅏㄹ
재,ㅈㅐ
재갈,ㅈㅐㄱㅏㄹ
재경,ㅈㅐㄱㅕㅇ
재깔,ㅈㅐㄲㅏㄹ
재미,ㅈㅐㅁㅣ
재위,ㅈㅐㅇㅟ
재일,ㅈㅐㅇㅣㄹ
재자,ㅈㅐㅈㅏ
재잘,ㅈㅐㅈㅏㄹ
저,ㅈㅓ
저적,ㅈㅓㅈㅓㄱ
저축,ㅈㅓㅊㅜㄱ
저춤,ㅈㅓㅊㅜㅁ
적극,ㅈㅓㄱㄱㅡㄱ
적성,ㅈㅓㄱㅅㅓㅇ
전,ㅈㅓㄴ
절뚝,ㅈㅓㄹㄸㅜㄱ
절룩,ㅈㅓㄹㄹㅜㄱ
절름,ㅈㅓㄹㄹㅡㅁ
절쑥,ㅈㅓㄹㅆㅜㄱ
점,ㅈㅓㅁ
정,ㅈㅓㅇ
제,ㅈㅔ
조,ㅈㅗ
조마,ㅈㅗㅁㅏ
조몰락,ㅈㅗㅁㅗㄹㄹㅏㄱ
